# X(mm) Y(mm) Z(mm)
516.397 528.377 112.066
516.397 528.377 112.066
517.463 624.269 112.265
517.215 501.932 112.141
527.949 332.575 114.283
519.806 737.744 112.442
519.806 737.744 112.442
518.036 481.375 112.050
518.281 494.091 112.064
516.596 449.300 111.596
516.870 362.805 111.620
519.988 777.050 112.287
519.808 489.713 112.239
520.060 493.878 112.285
520.888 742.957 112.447
519.674 486.627 112.104
519.674 486.627 112.104
520.283 490.677 112.135
521.110 482.356 112.030
522.891 779.299 112.200
523.923 628.021 112.411
523.923 628.021 112.411
524.270 682.488 112.366
524.270 682.488 112.366
524.832 618.938 112.411
525.040 638.088 112.453
523.795 481.269 112.185
523.795 481.269 112.185
525.483 634.297 112.543
525.212 654.298 112.446
525.519 681.007 112.493
525.455 684.471 112.468
526.446 688.686 112.631
526.446 688.686 112.631
525.500 517.926 112.282
523.525 379.922 111.658
523.525 379.922 111.658
526.367 536.906 112.234
522.913 379.277 111.471
522.913 379.277 111.471
528.211 637.498 112.538
528.211 637.498 112.538
528.642 688.275 112.618
527.081 515.622 112.266
526.387 481.873 112.051
526.523 501.620 112.059
529.195 512.354 112.326
529.195 512.354 112.326
530.957 533.948 112.366
530.980 522.441 112.345
530.837 519.487 112.288
531.229 511.307 112.353
529.667 379.289 111.767
533.802 387.132 112.555
536.079 612.985 112.635
536.079 612.985 112.635
536.569 699.793 112.642
531.984 381.807 111.635
536.130 608.532 112.450
536.832 616.891 112.559
536.832 616.891 112.559
538.637 627.766 112.578
540.519 699.477 112.933
537.914 555.339 112.381
541.025 759.176 112.438
541.025 759.176 112.438
540.942 764.859 112.336
541.189 754.534 112.311
542.218 397.770 112.271
543.038 527.823 112.398
543.632 765.941 112.346
542.869 785.066 112.159
544.295 754.403 112.346
545.798 769.350 112.579
545.005 549.422 112.394
545.847 552.809 112.449
547.132 563.370 112.440
547.288 752.059 112.472
547.288 752.059 112.472
547.128 773.008 112.345
548.704 762.371 112.553
549.087 750.916 112.503
551.334 762.664 112.565
551.441 757.019 112.584
551.517 749.371 112.425
552.135 528.717 112.537
552.230 535.793 112.514
553.032 545.706 112.654
552.044 510.985 112.375
552.399 495.670 112.439
552.950 498.582 112.537
552.588 504.917 112.439
552.478 490.682 112.416
552.270 480.356 112.293
551.288 470.572 112.020
553.680 533.266 112.466
553.801 753.123 112.489
553.382 755.708 112.389
554.748 708.653 112.646
553.864 505.801 112.355
554.430 535.328 112.468
553.569 775.047 112.295
554.148 773.758 112.410
554.297 542.106 112.427
554.318 544.219 112.421
554.318 544.219 112.421
554.143 760.503 112.372
554.450 763.090 112.417
554.092 475.299 112.342
554.533 525.848 112.424
554.755 746.446 112.460
554.547 756.879 112.412
554.127 490.225 112.318
553.966 503.127 112.281
554.510 766.131 112.394
554.510 766.131 112.394
554.609 488.487 112.387
554.609 488.487 112.387
554.816 513.623 112.429
556.028 628.564 112.659
555.546 483.731 112.531
556.273 706.184 112.664
555.398 527.272 112.403
555.069 774.653 112.330
555.069 774.653 112.330
555.757 763.344 112.380
556.566 758.339 112.541
556.187 752.250 112.406
558.119 700.562 112.790
556.401 511.706 112.397
556.409 500.700 112.336
556.851 766.139 112.387
556.851 766.139 112.387
557.158 774.271 112.435
556.672 775.063 112.292
557.703 765.305 112.450
559.425 683.089 112.644
558.073 768.633 112.370
558.997 511.375 112.538
559.423 489.208 112.569
559.686 544.819 112.526
558.839 505.633 112.268
560.683 558.634 112.620
559.498 513.548 112.374
559.938 502.901 112.427
559.691 770.319 112.332
559.977 482.995 112.345
559.977 482.995 112.345
559.915 471.874 112.297
560.971 755.490 112.509
560.454 537.100 112.353
561.801 568.218 112.617
561.383 488.066 112.455
561.383 488.066 112.455
560.868 759.370 112.324
562.185 773.058 112.537
562.185 773.058 112.537
561.489 514.189 112.381
562.657 548.878 112.582
562.125 533.181 112.451
561.745 519.404 112.372
561.745 519.404 112.372
561.692 501.826 112.358
562.568 528.572 112.532
562.665 558.312 112.540
562.665 558.312 112.540
562.238 512.419 112.396
562.420 504.017 112.402
562.874 507.261 112.424
562.513 480.544 112.278
562.121 473.055 112.170
564.761 737.111 112.495
564.993 557.598 112.463
565.858 711.291 112.624
565.858 711.291 112.624
565.721 704.798 112.570
565.721 704.798 112.570
565.297 497.542 112.437
565.297 497.542 112.437
565.357 519.756 112.422
566.462 687.722 112.636
568.563 389.759 113.011
566.976 751.579 112.515
567.190 496.753 112.467
565.006 340.706 111.936
568.609 690.181 112.599
569.796 562.018 112.675
569.352 765.748 112.430
569.352 765.748 112.430
568.834 754.096 112.323
569.367 766.963 112.376
569.810 763.700 112.292
571.787 689.462 112.623
571.885 683.525 112.621
571.885 683.525 112.621
568.716 341.062 111.506
575.810 548.669 112.524
575.810 548.669 112.524
575.543 525.920 112.466
576.174 541.090 112.586
576.174 541.090 112.586
575.995 510.784 112.450
576.030 524.148 112.411
581.934 403.718 112.239
580.885 405.061 111.838
592.960 809.179 113.518
668.190 703.204 98.236
709.082 539.429 99.000
709.082 539.429 99.000
714.752 537.879 98.736
714.752 537.879 98.736
719.531 545.152 98.791
725.739 528.751 98.832
725.739 528.751 98.832
728.796 526.046 98.781
732.264 530.242 98.829
732.264 530.242 98.829
733.780 555.595 99.035
733.687 526.792 98.847
735.747 552.177 98.648
740.234 538.432 98.824
743.710 559.281 99.027
743.710 559.281 99.027
750.018 564.349 98.850
753.887 559.762 99.022
767.895 708.797 98.762
781.589 582.185 99.275
781.104 499.517 98.716
781.104 499.517 98.716
783.820 710.056 98.877
791.215 502.280 99.648
791.215 502.280 99.648
794.199 502.472 99.351
797.164 708.188 98.862
816.988 578.079 99.541
823.235 501.168 99.701
833.284 604.580 99.713
833.284 604.580 99.713
835.433 609.516 99.639
836.731 544.787 99.759
840.185 539.630 99.852
841.629 549.973 99.848
841.629 549.973 99.848
842.987 557.283 99.941
843.685 546.910 99.881
843.685 546.910 99.881
842.255 615.701 99.683
843.754 614.149 99.621
843.754 614.149 99.621
845.067 609.086 99.666
845.364 615.497 99.625
845.364 615.497 99.625
847.142 579.676 99.786
848.250 565.844 99.880
848.250 565.844 99.880
849.183 495.809 99.960
848.039 596.637 99.789
849.970 470.567 99.956
851.782 509.891 99.908
851.631 556.649 99.890
853.442 487.358 100.055
851.779 608.478 99.737
855.296 480.307 100.013
855.700 554.955 100.045
856.088 495.804 100.048
854.936 528.953 99.904
855.312 536.068 99.912
855.313 583.440 99.863
855.313 583.440 99.863
856.858 499.024 100.026
857.233 486.411 100.043
854.127 578.902 99.668
856.807 494.335 99.968
856.479 539.530 99.900
857.408 582.190 99.945
857.212 585.265 99.912
859.756 526.742 100.194
859.756 526.742 100.194
856.563 557.762 99.816
856.563 557.762 99.816
856.382 601.319 99.740
857.734 510.148 99.856
858.606 605.393 99.793
859.712 533.565 99.905
862.092 495.834 100.158
860.680 601.344 99.987
859.946 586.689 99.889
859.946 586.689 99.889
859.946 586.689 99.889
859.962 610.501 99.856
